id	name	description	type
Chargedesk	ChargeDesk	ChargeDesk helps you manage your customer payments inside of your helpdesk. This integration helps you automate tasks such as exporting charge or customer data, automatically requesting payments and cancelling subscriptions.	Customer Support
Chargeflow	Chargeflow	Chargeflow is a fraud prevention tool that automates, prevents and recovers chargebacks.	Payment Processing
Chartly	ChartLy	ChartLy is an API tool that generates responsive charts directly from your request data for dashboards and reports.	Analytics
Chataibot	ChatAIBot	ChatAIBot builds a pipeline of qualified leads, automate your support, without increasing headcount with our no-code chatbot platform.	Customer Support
ChatAid	Chat Aid	Chat Aid is an AI powered workplace search chat assistant. Easily search across your data and get answers right within Slack and Microsoft Teams.	AI Chatbots
Chatbot	ChatBot	ChatBot is a universal and comprehensive framework for building modern AI chatbots. It can be used by total beginners as well as advanced developers.	AI Chatbots
ChatbotBuilder	Chatbot Builder	Chatbot Builder builds AI-powered chatbots with our user-friendly bot builder. Train with unlimited data and deploy within minutes.	AI Chatbots
Chatbotic	Chatbotic	Chatbotic, the AI chatbot, promptly answers customer queries on your site, Facebook, Instagram and auto-gathers potential visitor lead info.	AI Chatbots
Chatbotkit	ChatBotKit	ChatBotKit helps you create conversational AI bots with custom data and abilities that communicate naturally with users in your App, Website, Slack, Discord, WhatsApp, Telegram and more.	AI Chatbots
Chatbotworld	ChatBotWorld	ChatBotWorld is an AI chatbot for websites & messaging that ensures you effortlessly build bots for seamless customer engagement.	IT Operations
Chatbutler.ai	chatbutler.ai	Chatbutler.ai: Effortlessly craft AI-powered chatbots with our no-code platform. Harness the power of LLMs in an intuitive visual interface.	Customer Support
Chatfly	ChatFly	ChatFly is an AI chatbot builder that utilizes artificial intelligence to analyze your data and allows you to integrate a chat widget into your website.	AI Chatbots
Chatforma	Chatforma	Chatforma is messenger marketing platform that lets you build chatbots and automated messenger sales with no coding.	Marketing Automation
ChatgptOpenai	ChatGPT (OpenAI)	ChatGPT is an AI tool built by OpenAI that enables conversational automation.	AI Assistants
Chatsistant	Chatsistant	Build intelligent, conversational AI agents with Chatsistant's powerful framework. Deploy custom chatbots that automate tasks and enhance user experiences.	AI Chatbots
Chatterswift	chatterswift	chatterswift is a business messaging CRM that automates social media communications with scheduling, bulk campaigns, analytics, and much more.	Sales & CRM
ChatTonic	Chat-Tonic	Chat-Tonic is a chatbot platform to connect your clients with an automated answering solution built with AI and custom created content	Customer Support
Cheddar	Cheddar	Recurring billing, SaaS subscription management, automated communication, and market intelligence.	Payment Processing
Chiirp	Chiirp	Chiirp helps you Capture, Connect & Close easier and faster using automated text messaging.	Contact Management
Chipbot	ChipBot	ChipBot is a knowledge base bot for your website.	Customer Support
Cim	CIM	CIM is an analytics tool that helps building operation teams monitor their building’s energy and equipment performance.	Analytics
Circuitry.ai	Circuitry.ai	Circuitry.ai is a decision intelligence platform that empowers manufacturers to optimize sales, service, and customer outcomes.	AI Assistants
ClaidAi	Claid AI	Automatically create and improve your eCommerce images with Claid AI. Increase resolution, remove backgrounds, and make high quality AI pictures that convert.	Images & Design
Claimwizard	ClaimWizard	ClaimWizard provides claim management software for public adjusters and first-party representatives with an emphasis on automation and workflow.	CRM (Customer Relationship Management)
Clarifai	Clarifai	Gain Valuable Insights from Unstructured Data with Clarifai	Developer Tools
Cleatus	CLEATUS	CLEATUS is an all-in-one AI platform for government contractors—automate capture, streamline proposals, analyze contracts, and more.	AI Assistants
Clevero	Clevero	Clevero is a CRM that runs your daily operations in a simple to use platform.  Capture data and automate process around for your Sales, Projects, Support, Timesheets, Invoicing and much much more.	CRM (Customer Relationship Management)
Clicdata	ClicData	ClicData enables True Performance with an end-to-end data analytics platform: connect, transform, automate, visualize and share data from 300+ sources.	Analytics
Click2mail	Click2Mail	Click2Mail provides a printing and mailing service tool for you to add physical mail to your processes. Send everything from marketing letters to invoices, follow-up postcards, product alerts, and more.	Printing
Clienty	Clienty	Clienty centralizes and automates your business process by better tracking prospects.	CRM (Customer Relationship Management)
ClosedloopAi	ClosedLoop AI	ClosedLoop AI is an AI reasoning engine extracting product insights from customer feedback.	Product Management
CloudBot	Cloud BOT	Cloud BOT is a freemium service for web browser automation. You can easily create your own robot and it can be run at any time in the cloud.	Developer Tools
Cloudcontactai	CloudContactAI	CloudContactAI is a platform enabling you to send SMS, MMS, and email messages.	Phone & SMS
Cloudmattr	Cloudmattr	Cloudmattr is a platform that helps businesses by helping them manage user feedback, roadmaps, knowledge bases, automated campaigns, and changelogs.	Marketing Automation
Cmst	CMST	CMST is a CRM for education consultancies that helps them to automate all of their office operations.	CRM (Customer Relationship Management)
Cobot	Cobot	Cobot is a management software for coworking spaces and shared offices. Cobot helps you with billing, invoicing, bookings and member management so that you have more time for your coworkers.	Scheduling & Booking
Codedesign.ai	CodeDesign.ai	CodeDesign.ai is an AI website builder that helps you publish pages.	Website Builders
Codo	CoDo	A training platform that turns repetitive, manual onboarding into automated, self-paced group journeys optimized for engagement, connection, retention, and scalability.	Human Resources
Coffee	Coffee	Coffee is an AI-first CRM (or CRM companion) that automates contact creation, data enrichment, meeting prep and follow-up.	CRM (Customer Relationship Management)
CognitiveInvoice	Cognitive Invoice	Cognitive Invoice is a platform built on deep learning which automates invoice processing workflows. Automate invoice data extraction, build your workflows to ingest, capture, validate and post invoices to system of your choice – no coding required.	Accounting
CohereAi	Cohere AI	Cohere provides access to advanced Large Language Models and NLP tools. To try out these endpoints visit: https://dashboard.cohere.ai/playground/.	AI Models
CollageHr	Collage HR	Collage HR is an award-winning, all-in-one HRIS that automates your people processes and saves your team hours of manual tasks.	HR Talent & Recruitment
CollegeAidPro	College Aid Pro	College Aid Pro is a college planning software for financial advisors to assist college-bound families.	CRM (Customer Relationship Management)
ColligsoMailin	Colligso MailIn	Colligso MailIn helps businesses to reach their customers to remarket their product/services using calendar-scheduled email campaigns. Colligso has pre-built and curated calendars for holidays, restaurants and game days.	Email
